K2_ID,K2_campaign,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg_BHM,Rg_16_BHM,Rg_84_BHM,Zmax_BHM,Zmax_16_YE,Zmax_84_BHM,e_BHM,e_16_BHM,e_84_BHM,Lz_BHM,Lz_16_BHM,Lz_84_BHM,E_BHM,E_16_BHM,E_84_BHM,vR_BHM,vR_16_BHM,vR_84_BHM,vT_BHM,vT_16_BHM,vT_84_BHM,vZ_BHM,vZ_16_BHM,vZ_84_BHM,Rg_Gaia,Rg_16_Gaia,Rg_84_Gaia,Zmax_Gaia,Zmax_16_Gaia,Zmax_84_Gaia,e_Gaia,e_16_Gaia,e_84_Gaia,Lz_Gaia,Lz_16_Gaia,Lz_84_Gaia,E_Gaia,E_16_Gaia,E_84_Gaia,vR_Gaia,vR_16_Gaia,vR_84_Gaia,vT_Gaia,vT_16_Gaia,vT_84_Gaia,vZ_Gaia,vZ_16_Gaia,vZ_84_Gaia,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,drop_K2_dup,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
210963423.0,4.0,2M03580051+2223476,apogee.apo25m.synspec_fix.169-24_btx.2M03580051+2223476,1636148068921376768,41.0109,1.05729,4.40382,0.0737065,53.742929375801786,3.8551284257121967,0.052212,0.0069080517,-0.0048389994,0.0049371007,8.100074025571832,8.087845918437774,8.111626330999092,0.4351696509983304,0.4301473824453112,0.4404571210267823,0.1568803276913762,0.155135247573014,0.1585895322131292,1779.7651800825515,1777.3531783402643,1782.0430923042336,-40351.238204011504,-40388.15780345591,-40315.75147205364,37.01646303103635,36.85718916514462,37.17184195546994,198.14796377006823,197.66262185572023,198.65645002221115,-5.241345758492625,-5.396218516954655,-5.071838771990517,8.109831760678441,8.080252533144774,8.135598633796116,0.4303117482311291,0.4180482606371841,0.4446321625231558,0.1552478274994136,0.1511870080721781,0.1600188680547874,1781.6892845286843,1775.8549455121356,1786.7675833770493,-40328.548010121405,-40401.48090275237,-40261.63803388766,36.90104063677782,36.538059142773946,37.27520126255584,198.61935484657485,197.27794112753955,199.8269974938814,-5.260624886758894,-5.451014143301562,-5.075899209517804,3.241664,2.888278,3.639285,1.408166,1.356107,1.464889,10.883927,10.758979,11.023797,1080.400391,1069.003906,1093.691406,3.730294,2.955342,4.752873,1.344791,1.244029,1.448304,10.825023,10.687364,10.973717,1076.015625,1063.242188,1090.595703,False,False,True,False,False,,False,False,False,False,False,False,False,False,False
206237975.0,3.0,2M22495022-0910174,apogee.apo25m.synspec_fix.K2_C3_059-57.2M22495022-0910174,1636148068921376768,35.1239,2.00291,4.35361,0.10404,29.42856701924325,1.5647849076043234,0.050267,0.010911452,0.132155,0.0066455314,5.730921701655257,5.699867654032213,5.761285655696348,1.958294445955434,1.9320141010183292,1.9858724716135372,0.2319921206616315,0.2285411475802481,0.2354162331147088,1290.9768633694148,1284.1941542071966,1297.5968888955954,-50234.17888139316,-50308.4027398324,-50160.85926167206,52.8019610844816,51.922454569466495,53.70593062172165,170.5109108192359,169.7914992079982,171.20919673094883,36.0452612304812,35.53613545225305,36.546111913704216,5.762861363826435,5.728679862083284,5.7929822954742605,1.930529774555792,1.9039712441762489,1.9601669125076076,0.2283776324069758,0.2250704358872997,0.2323862124087943,1297.9401081681524,1290.4876246153906,1304.4949785031731,-50158.86687401136,-50238.281964851856,-50083.17472671653,51.88576443612946,50.97704371634487,52.95888893484503,171.24984633565566,170.4731193569806,171.94473585069676,36.56016657540927,35.97590079674294,37.04590836648104,16.242051999999997,12.456746,18.719656,0.907068,0.870424,0.979159,9.364153,9.160528,9.660436,1663.671875,1634.53125,1697.753906,17.4861,15.066847,19.069539,0.885515,0.86356,0.923726,8.77182,8.470816,9.077576,1575.800781,1543.183594,1609.160156,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
220276308.0,8.0,2M00420380+0207419,apogee.lco25m.synspec_fix.120-61-O.2M00420380+0207419,1636148068921376768,37.7924,1.00537,4.38805,0.310684,,,-0.46621,0.012178944,0.287745,0.010279695,2.6707800585763324,2.429699486058175,2.904250980230899,3.579615571826723,3.329674389726476,3.8668030850055457,0.6120389490941789,0.5942665060366079,0.6280201664345295,550.034224468872,486.3796610465291,611.5052204747791,-53595.74390168822,-53737.26429498229,-53383.31938108696,13.55558621865224,13.057920725623354,13.99808684819195,61.30169502258252,53.9037385269235,68.54163056044612,-33.820152317168834,-37.147215194582,-30.57734788481251,3.4249891220997606,3.101543011461528,3.6580902381303337,2.8331656983667166,2.635522990821664,3.131314069377395,0.5480188615551557,0.5250883287139126,0.5775771806366782,746.561440663698,663.0836521278753,805.7148513284462,-53816.31793216399,-53846.517308584334,-53749.13790176856,12.390729994998974,11.711518657412949,13.090766504337976,84.70576505455324,74.6664844519883,91.91690550804628,-23.414855046750155,-27.92515718304216,-20.12711177292153,7.457560000000001,4.834907,11.73172,1.044442,0.915805,1.188295,9.707111,9.084168,10.382407,3595.703125,3431.367188,3765.429688,,,,,,,,,,,,,False,False,False,False,False,,False,True,False,,,True,False,False,False
213859399.0,7.0,2M19215425-2803444,apogee.apo25m.synspec_fix.K2_C7_009-18.2M19215425-2803444,1636148068921376768,184.96400000000003,1.25035,14.1827,0.0754356,13.221436853616026,0.5484456751374986,-0.28,0.00713544,0.074365005,0.0065975767,8.73027929238283,8.725834726315732,8.735155371449878,1.0764418362762216,1.0600168056337471,1.0930834596055508,0.2148176029324882,0.2126229555370149,0.2172400367481461,1902.990797730641,1902.1286620791288,1903.93653098348,-35787.17318533044,-35858.1528922257,-35708.31040822623,12.794890981783343,12.748282900920046,12.843571394891065,260.8232096291187,260.39546441061907,261.2969701743605,43.09882006956624,42.70294148412681,43.47626565306757,8.730106957176005,8.725082779302578,8.735243506624466,1.0734120453502367,1.054871153022134,1.0922553250146745,0.214456250977997,0.2118552059480061,0.2171614611959186,1902.9573706777865,1901.9827939401785,1903.9536241096475,-35799.18256264648,-35882.90905612883,-35712.77521712278,12.79071251421706,12.74009817191058,12.848872404624087,260.7614766614871,260.2348061977357,261.2854801848027,43.01669972093159,42.579661549061306,43.46194264537216,3.313999,2.947066,3.728181,1.320453,1.277772,1.364004,4.862689,4.796945,4.929437,756.5429690000001,746.416016,767.0117190000001,3.810653,3.287781,4.440115,1.265015,1.211212,1.319053,4.727322,4.605295,4.853664,733.251953,720.625,746.464844,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
220281055.0,8.0,2M00473607+0213443,apogee.apo25m.synspec_fix.120-60.2M00473607+0213443,1636148068921376768,44.1805,0.8352620000000001,5.17161,0.0902068999999999,39.97136761412174,5.231689217454655,-1.3019,0.011600838,0.28851497,0.016515262,3.656052335553457,3.331873458017263,4.008403865497862,3.374835701977017,3.3434670308834016,3.4184577416137016,0.5383587461831398,0.5086683884205884,0.5656751720925064,-805.2016641363608,-892.8487428788951,-722.6860057773812,-50835.28558684016,-52011.919561789095,-49518.86212932532,64.9564041149059,62.90702386623372,67.04732325355104,-90.32769320943136,-99.79174230045184,-81.35176192524233,12.21366991844016,9.131776561499972,15.025846062668291,3.614841779528678,3.069475102359132,4.2604988392027385,3.36997110387529,3.328001585701556,3.462406925801138,0.5418575044764321,0.4878542008258608,0.5874927674306003,-794.8086362639272,-954.1988531743352,-654.7296994445256,-51000.8075142545,-52917.48570346647,-48506.70576998355,64.69825563596953,61.24306946079252,68.57531257505956,-89.20441032460701,-106.38084739168488,-73.91996377662952,12.52519885752412,7.010233182384742,17.544485721466735,7.621341999999999,5.426121,10.185699,0.939693,0.856215,1.033154,8.405932,8.068706,8.766785,3187.96875,3089.492188,3290.9375,10.295617,6.617268,15.746312,0.851983,0.730628,0.97732,8.163365,7.24826,8.908416,3132.890625,2981.40625,3289.921875,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
211563796.0,5.0,2M08385616+1402110,apogee.apo25m.synspec_fix.K2_C5_212+30_btx.2M08385616+1402110,1636148068921376768,27.4918,0.544033,3.40996,0.107343,80.2583337530681,5.369398643172454,-0.25742,0.010650478,0.045561,0.009009979,9.957849178212584,9.765481651813822,10.152197915509191,1.2376764124229218,1.1149524458713422,1.3698174962084375,0.1031077030905666,0.097341510640999,0.1093298558403378,2138.028182020842,2101.5595857720514,2174.7542716645653,-31771.68603779517,-32684.45956547524,-30860.15493621413,23.97046991407052,23.364376267878423,24.591330434932104,224.71250328223329,223.7739335387156,225.6945665852573,-4.437794111025613,-6.932874821174173,-1.8925082397009736,10.106402106580342,10.030513987196809,10.184443917968457,1.3375002842834394,1.2853428535272815,1.3913847651266955,0.1078793557285267,0.1052662533290768,0.110528085165196,2166.11056991164,2151.773186210384,2180.836784501329,-31074.51486003822,-31431.99612061637,-30711.537685143336,24.43672291469163,24.16258176538378,24.718740495417965,225.480144162422,225.06560380675327,225.8926278063757,-6.3217049416056526,-7.335922590210322,-5.356824345018319,4.572828,2.875324,7.595362,1.185726,1.00031,1.386258,12.092765,11.154551,13.000892,2004.375,1870.9375,2187.460938,4.152895,3.316511,5.321992,1.237015,1.148054,1.326604,13.134465,11.836436,14.121451,2226.894531,2145.429688,2307.773438,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
211317608.0,5.0,2M08295243+1012214,apogee.apo25m.synspec_fix.K2_C18_214+26_btx.2M08295243+1012214,1636148068921376768,58.1976,1.24499,5.96094,0.0476874,,,-0.019349,0.0074082794999999,0.137005,0.0049679237,6.344513097303485,6.313567191770049,6.3782356349819525,0.6286333773064051,0.604933125988371,0.6518520430769426,0.2215576184384797,0.2176787612264586,0.2250708831688582,1422.6075796265595,1416.0707902453194,1429.7194206756965,-49493.87237337197,-49590.20010850764,-49387.86191138886,-6.92877336966105,-7.076917651472982,-6.771288966146916,172.39733014078246,171.51186381384778,173.36146567889224,-32.37058791404424,-33.242106308731294,-31.45866855808076,6.248537133470935,6.240158012656627,6.25753782715295,0.6999822475130211,0.6930533957534024,0.7063553759819376,0.2323558549689703,0.2313566459718459,0.2332805027896848,1402.3010229417732,1400.523469958497,1404.2095875545597,-49784.90827129729,-49809.53822468645,-49757.55175135038,-7.374709521275576,-7.415996030141613,-7.33355531924038,169.65165674767178,169.41245641978213,169.9080005449071,-34.99261053445577,-35.22378730135917,-34.74465925909477,12.414093,9.772775,14.961969,0.971688,0.919915,1.040719,7.703919,7.539483000000001,7.909364999999999,340.629883,334.526367,347.20703100000003,,,,,,,,,,,,,False,False,False,False,False,,False,True,False,,,True,False,False,False
214883984.0,7.0,2M18473250-2525133,apogee.apo25m.synspec_fix.K2_C7_010-10_btx.2M18473250-2525133,1636148068921376768,32.5066,0.920611,4.08504,0.100297,51.17245896729335,9.856129914558489,0.0051105,0.0125997085,0.038231,0.008619655,4.263966914610953,4.177679994334048,4.346260954325331,1.0104614889954742,0.9938287050234323,1.0267602508099831,0.0449710989338766,0.0395542288273817,0.0499271453421636,955.034983052733,934.169249583349,974.8120218689048,-68381.44073266181,-69241.32160121735,-67595.00480242757,-22.390344152970982,-23.47961870430014,-21.168635079269254,208.55185491178196,207.7418939980368,209.35295545392137,-58.24979941803655,-59.79070913079455,-56.81375154932362,4.073538786871952,3.7532567510563375,4.339503356111171,1.0436619506675244,0.9947012071056917,1.1053443944405137,0.0346657988645253,0.0210308676752091,0.0502238493234142,908.8089845978324,829.5998093896093,973.192535514685,-70286.78134267771,-73626.03000448909,-67656.41314428305,-19.7061051560313,-23.471811610894125,-14.48724611181744,206.7940895271821,203.72869664160524,209.2249305960637,-61.37743702419424,-67.03652088002437,-56.80173232609944,9.314798,7.134257000000001,13.174895,0.996891,0.916342,1.083867,10.264936,9.911832,10.62106,3563.242188,3473.164062,3652.03125,8.488708,4.884079,14.292571,1.029579,0.898037,1.231261,10.486337,9.956817,10.988007,3626.601562,3498.007812,3736.757812,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
211379264.0,5.0,2M08510103+1118354,apogee.apo25m.synspec_fix.GD1-2.2M08510103+1118354,1636148068921376768,23.8205,0.529181,3.29611,0.18366,47.93480504884936,3.903503063867193,-0.22113,0.007730135,0.204855,0.005821034,7.248370556594606,7.232950035569136,7.261017993434628,1.7012777799421386,1.6441728294779203,1.7527456866449698,0.2413855914618555,0.2334732491904227,0.2485773188572524,1609.4974655715946,1606.367834696944,1612.0629247412794,-41498.83545117773,-41684.36887619902,-41334.41649376786,2.7401639681077103,1.6209274024418063,4.022480839747412,162.13263451223858,160.43570656216733,164.00953818066057,24.93499562898625,24.07516054442447,25.9032653588609,7.268989092320853,7.261052115788827,7.276062725908636,1.588015469526268,1.553645142724505,1.621746168351678,0.2255705086503496,0.2207983544355027,0.230546312262023,1613.6791853186307,1612.0698446137192,1615.1130642456158,-41880.30559210075,-42005.7291658051,-41753.20343938901,5.31083838470481,4.526722665894535,6.114855541386854,165.9236498941038,164.73592659528782,167.0954465711569,26.869598345433907,26.19769308099617,27.50843456039899,9.230662,5.148417,14.747239000000002,1.002742,0.8832049999999999,1.198122,12.038985,11.318352,13.140238,2669.765625,2557.890625,2810.585938,16.423638,13.626764,18.652812,0.853077,0.827144,0.892114,9.78898,9.535603,10.151162,2244.042969,2209.394531,2284.101562,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
247281599.0,13.0,2M04414901+2023101,apogee.apo25m.synspec_fix.K2_C13_179-17_btx.2M04414901+2023101,1636148068921376768,114.246,2.05476,9.1289,0.0755296,,,0.28255,0.0065204888,-0.0076939984999999,0.004097609,7.285557643683711,7.258081254672468,7.312381667427857,0.2359490937267662,0.2305585470388241,0.2414152996348814,0.1532102670236387,0.1489657244440488,0.1574623297672969,1617.03715580709,1611.4673338921336,1622.4691964070084,-45196.133780313336,-45296.21408292771,-45095.91378677229,11.45555614820944,11.36607230280749,11.545495081797574,188.83189108373887,187.9324904948026,189.73989644605416,11.10401377605606,10.912036628971098,11.306181670354444,7.231964367570322,7.216414007380565,7.248119121467936,0.2468313645045231,0.2438055158395662,0.2500387636029493,0.1615879639967485,0.1590534422124082,0.1639872034604873,1606.167728547655,1603.0097623897884,1609.4464509346828,-45390.889998481725,-45446.52033701932,-45331.90728769757,11.615610375104746,11.561239204033194,11.672662625930757,187.06368692228975,186.55405430990007,187.5959536214832,11.477718299553915,11.37332634557024,11.598022430096018,2.813478,2.280641,3.493959,1.521393,1.431873,1.617016,6.794031,6.631929,6.96006,587.6611330000001,574.7705080000001,600.9228519999999,,,,,,,,,,,,,False,False,False,False,False,,False,True,False,,,True,False,False,False
