TESS_ID,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,warn_plax_err,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
278726770,2M06373885-5705142,apogee.lco25m.synspec_fix.266-24-O_TESS.2M06373885-5705142,1636148068921376768,79.05,2.02,7.17566,0.0506143,19.82303842258343,0.6805313553342264,0.39443,0.0065496373,-0.009962,0.003626021,6.51486998262301,6.511125562069464,6.5181710783482885,0.2927455788765603,0.2846009004354661,0.3020303706611603,0.1906622577633239,0.1902671966148863,0.1911045911021582,1458.4149889075247,1457.6311059098098,1459.105947743067,-49540.35239397835,-49545.658628822464,-49534.21586376392,3.926953406823546,3.692647034323081,4.192498915276719,180.98182039750765,180.847914537766,181.09982020409703,10.06890375466108,9.659852170469437,10.531664352102432,7.429201,5.513004,9.826702,1.161202,1.07027,1.265371,7.248598,7.04073,7.47705,641.376953,628.554688,654.257812,7.517804,6.470486,8.782146,1.157484,1.106627,1.208519,6.824142,6.670119,6.983103,605.888672,598.334961,613.422852,False,False,False,False,False,False,False,False,False,True,True,True,True
279217062,2M06533358-5736081,apogee.lco25m.synspec_fix.267-22-O_TESS.2M06533358-5736081,1636148068921376768,32.8,1.475,3.7625,0.0823933,67.30467888786359,2.091295031778189,-0.33968,0.0075108865,0.076405,0.0066496045,9.08956553188042,9.076808502617457,9.102745194723015,0.5433827913800282,0.5312834682958697,0.5562579598539976,0.1242693833828713,0.1230902973017881,0.1254625468417174,1972.392316012355,1969.937581271056,1974.9276713172703,-35883.7378974795,-35962.64399958772,-35802.23952927807,-1.3518075457759129,-1.5518565742868728,-1.1559642987821772,242.9684397112952,242.77628988219416,243.1651394490605,3.9892832212731832,3.85872789554634,4.120930217111081,3.521411,2.076251,4.864299,1.2904,1.15711,1.532081,11.662449,11.276751,12.51312,1157.158203,1138.291016,1186.123047,3.479862,2.979576,4.171916,1.288452,1.216662,1.355116,10.996589,10.753493,11.731752,1122.587891,1101.230469,1150.957031,False,False,False,False,False,False,False,False,False,True,True,True,True
38468621,2M04064705-6423258,apogee.lco25m.synspec_fix.278-41-O_TESS.2M04064705-6423258,1636148068921376768,42.41,2.035,4.6875,0.0478305,77.49041018031406,2.787206348337662,-0.093447,0.006977953,-0.0027339999,0.00525771,7.854110016316792,7.851622398398937,7.856617735565623,0.4704523623865648,0.4661853426750414,0.4745666432180972,0.0389153890005519,0.0386882196923671,0.0391278750732623,1731.078911508027,1730.5846360840635,1731.5771418789006,-42578.05997006559,-42589.65404943925,-42567.29181183458,-11.39417828176851,-11.46175956924101,-11.32807239277811,217.67334488817252,217.61573603159755,217.7292948094385,0.759192509831817,0.7074002740697692,0.8201129946158368,2.484947,2.263001,4.354946,1.49219,1.250797,1.538983,10.789029,9.891781,10.833302,714.931641,708.300781,720.976562,1.152241,0.950807,1.39951,1.980463,1.819693,2.13909,11.864925,11.372061,12.554353,787.402344,773.427734,801.523438,False,False,False,False,False,False,False,False,False,True,True,True,True
149346975,2M05342598-6122023,apogee.lco25m.synspec_fix.271-32-O_TESS.2M05342598-6122023,1636148068921376768,7.14,0.85,1.25991,0.172391,164.47046516153983,13.184392848467956,-0.0822,0.008117446,0.039302,0.0049013086,8.196846651024536,8.175237514474494,8.217405879388922,0.955252779901582,0.9154030765470408,0.9982402778935904,0.1802390910909756,0.1755174178143933,0.1855382348631163,1798.823706366984,1794.5725384187017,1802.865922421569,-38941.394520074944,-38974.70030742892,-38907.91914044916,-50.546195684241226,-52.20197021599656,-49.09485053278303,222.99126579651968,222.30778356690536,223.6313180071445,21.70045764587408,21.161483025466257,22.256170580952933,11.830129,6.102988,17.135366,0.952674,0.85856,1.153771,22.29481,20.702828,24.752207,1284.6875,1236.699219,1343.300781,7.13692,4.690065,12.176478,1.08528,0.932424,1.234379,22.590778,21.157751,24.211636,1340.46875,1302.089844,1380.410156,True,False,True,True,False,False,False,False,False,False,False,False,False
278727736,2M06374714-5810001,apogee.lco25m.synspec_fix.268-24-O.2M06374714-5810001,1636148068921376768,31.63,1.755,3.815,0.104233,49.76247762751797,1.940552940125508,0.00012469012,0.007176736,0.031805202,0.005013479,8.98314311659541,8.971430605056351,8.9960225626442,0.4654988348679709,0.4557216268598513,0.4763306298297203,0.1408063359549115,0.1387536017496324,0.1430219677170759,1951.8935068257983,1949.6345555113587,1954.3768460458457,-36254.97622680359,-36339.40242850997,-36161.01330856651,21.549285401036755,21.107737038978048,22.021585474209196,242.28290498210416,242.0392089321827,242.55388440769008,-14.79992061946646,-15.103576552617511,-14.515520412128945,9.631609,5.323301,14.0158,0.98971,0.902622,1.204996,10.525045,10.20551,11.35317,728.994141,717.861328,740.205078,8.632664,7.214778,10.713845,1.018072,0.959229,1.081197,10.37061,10.174097,10.611822,729.277344,720.576172,738.222656,False,False,False,False,False,False,False,False,False,True,True,True,True
300241784,2M07185717-7149347,apogee.lco25m.synspec_fix.283-23-O_TESS.2M07185717-7149347,1636148068921376768,32.43,2.17,4.545,0.246005,67.54005325725578,2.2196129812590155,0.22339,0.0067940517,-0.0047420003,0.004224338,7.476986277650141,7.46949197249203,7.4849070782559775,0.3707018973191094,0.3626423218908864,0.3788068878370899,0.1519424365412771,0.1484926848281363,0.1551998334679446,1655.6858976243666,1654.1778423886894,1657.2793409855014,-43934.84995133029,-43945.36749983008,-43922.06077000348,43.77943916928525,42.7403413567186,44.77673431036208,210.464050882988,210.3184180688328,210.61903520606165,7.562660684520335,7.485089071038232,7.638072806277076,8.444385,5.879695,12.394154,1.064066,0.945317,1.190703,10.520533,10.051064,10.884007,793.867188,779.140625,806.699219,2.780869,2.179266,3.470842,1.521402,1.41804,1.645917,12.387128,11.960925,13.199328,958.046875,939.775391,975.683594,False,False,False,False,False,False,False,False,True,True,True,False,True
167572401,2M06453197-6451404,apogee.lco25m.synspec_fix.276-25-O.2M06453197-6451404,1636148068921376768,19.89,1.0,3.11083,0.1142,60.87224902248504,1.2976659948698377,-0.44504,0.008076893,0.264795,0.0069042714,8.156088811864073,8.145845846649593,8.167485245968562,0.6545303700593743,0.6382529492488804,0.6738681892097834,0.047119792550251,0.0449700318687054,0.0495819531993123,1790.8032331738737,1788.786122635945,1793.0467991385406,-40714.15735592988,-40794.838689973,-40620.37945794708,7.469986472370018,7.126245384208737,7.852222609885118,224.66958088047312,224.41547789375275,224.9531885943376,-31.45698450970707,-32.05992887143972,-30.9359703654992,12.460221,8.688271,16.810595,0.886769,0.826189,0.967457,12.134391,11.751435,12.611356,679.326172,667.363281,692.529297,17.072381,14.596523,18.876515,0.821843,0.8003,0.853703,11.219346,10.755882,12.673671,627.060547,619.033203,637.412109,False,False,False,False,False,False,False,False,False,True,True,True,True
177311830,2M06545020-7615577,apogee.lco25m.synspec_fix.288-26-O_TESS.2M06545020-7615577,1636148068921376768,6.14,0.28,1.08965,0.0,212.17096344538112,6.84870162766379,-0.23531,0.008304637,0.048267,0.0055377474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,,,False,False,False,False,False
176956040,2M06433707-6814498,apogee.lco25m.synspec_fix.278-26-O.2M06433707-6814498,1636148068921376768,16.06,0.67,2.17994,0.0632369,75.09827086186749,2.1535454564066487,0.16342,0.007523701,0.034310803,0.0041495375,6.697786800259291,6.690959653328845,6.704926385037507,0.4197334751622603,0.4068352863142767,0.4327753487597883,0.1960158225842742,0.193180895453416,0.1989603588346786,1496.5419695890434,1495.1246560681443,1498.0236801408748,-47999.06172317032,-48024.426848520256,-47968.53301724768,39.43965980455782,38.19730782573605,40.700040418819874,188.9346672852818,188.77511181476032,189.09938546001416,8.228795382156438,7.891831063179449,8.574266570060544,13.304415,8.721149,17.512845,0.967032,0.893995,1.092936,14.900251,14.386019,15.697128,874.501953,857.275391,896.396484,7.617778,6.312182,9.229709,1.121891,1.064173,1.17969,14.877128,13.885482,15.322052,892.1875,878.515625,904.433594,True,False,False,False,False,False,False,False,False,False,False,False,False
350953880,2M06031813-5611576,apogee.lco25m.synspec_fix.265-29-O_TESS.2M06031813-5611576,1636148068921376768,113.1,2.1,9.59918,0.0577255,15.478454883376456,0.3645535913726757,0.097671,0.0069219205,0.038786,0.004684166,8.477227059232007,8.47547221169648,8.478805188579285,0.631836331797669,0.6206390633310246,0.643252125524183,0.1099566445252325,0.108334932589357,0.1115836806694815,1853.7550197255675,1853.4124874153863,1854.063044792976,-38778.99352805148,-38799.410238926415,-38756.91195293267,26.556080883590703,25.95137577951241,27.16403429288969,230.50250125050525,230.4421986187375,230.5620965320461,29.67593118762862,29.33945221577606,30.00445628192292,5.907832,4.706737,7.485188,1.205277,1.127332,1.285323,6.075762,5.929112,6.222493,406.455078,399.990234,412.880859,6.735918,6.027114,7.54067,1.152808,1.11787,1.188214,5.66268,5.560899,5.766536,379.643555,375.849609,383.339844,False,False,False,False,False,False,False,False,False,True,True,True,True
