K2_ID,K2_campaign,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,drop_K2_dup,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
210963423.0,4.0,2M03580051+2223476,apogee.apo25m.synspec_fix.169-24_btx.2M03580051+2223476,1636148068921376768,41.27,0.97,4.424,0.089,53.742929375801786,3.8551284257121967,0.052212,0.0069080517,-0.0048389994,0.0049371007,8.09999775167175,8.088113659250507,8.111737838062716,0.4350755570772654,0.4306336933986211,0.4400168990112748,0.1568419433116525,0.1552290373069186,0.1585850431883776,1779.7501376589946,1777.4059995832454,1782.065075825628,-40350.665984879066,-40388.55967648228,-40314.08322327368,37.01414217124067,36.86698698443551,37.1819914175986,198.1526178569424,197.6708665309367,198.62503233726008,-5.232876313042908,-5.390980294010113,-5.06065177068502,3.131403,2.802182,3.493545,1.424074,1.374087,1.479248,10.881847,10.768043,11.024109,1081.181641,1069.814453,1094.345703,3.656034,2.904777,4.656385,1.353501,1.252392,1.45644,10.8288,10.69386,10.976917,1076.503906,1063.75,1091.210938,False,False,True,False,False,,False,False,False,False,False,False,False,False,False
206237975.0,3.0,2M22495022-0910174,apogee.apo25m.synspec_fix.K2_C3_059-57.2M22495022-0910174,1636148068921376768,36.54,0.91,4.283,0.076,29.42856701924325,1.5647849076043234,0.050267,0.010911452,0.132155,0.0066455314,5.722510412413401,5.691547750399046,5.75506182441803,1.9650488877277557,1.9369134518918103,1.9944938093797333,0.2329071822130831,0.2292828038470508,0.2364271188325297,1289.1409267835445,1282.3748367294577,1296.2409113483498,-50251.03721568888,-50328.06701327333,-50175.29386692658,53.06256286601284,52.10602943244829,53.98748206831172,170.31697131443966,169.59630112236974,171.07251628056775,35.90420607616051,35.38855871796238,36.437917726968834,15.337743,11.667338,18.28209,0.922438,0.877015,0.998065,9.430327,9.222889,9.749111,1672.7734380000002,1641.425781,1712.285156,17.434033,15.203678,19.020733,0.886356,0.864471,0.921472,8.774661,8.476421,9.079266,1576.191406,1543.671875,1609.472656,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
220276308.0,8.0,2M00420380+0207419,apogee.lco25m.synspec_fix.120-61-O.2M00420380+0207419,1636148068921376768,37.24,0.96,4.452,0.088,,,-0.46621,0.012178944,0.287745,0.010279695,2.7976264711138827,2.6519246138193138,2.958205370399392,3.4463501402555856,3.276014916498459,3.6083177865922935,0.6026284398253757,0.5897076629003861,0.6134695897762994,583.4756675468045,545.0572221984598,625.6514259247909,-53677.96464529009,-53757.53732078168,-53577.07189665821,13.42891537433036,12.985006395799305,13.87124209656718,65.23009633349167,60.724509739922446,70.20073641708169,-32.11667584194839,-34.15538441204247,-29.872958304701516,9.29655,6.923829,13.387381,0.978531,0.883583,1.068017,9.421632,9.026039,9.801289,3497.578125,3389.023438,3600.585938,,,,,,,,,,0.0,,,False,False,False,False,False,,False,True,False,,,True,False,False,False
213859399.0,7.0,2M19215425-2803444,apogee.apo25m.synspec_fix.K2_C7_009-18.2M19215425-2803444,1636148068921376768,185.03,2.56,12.129,0.149,13.221436853616026,0.5484456751374986,-0.28,0.00713544,0.074365005,0.0065975767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.811473,3.26021,4.483262,1.264942,1.207996,1.321981,4.727257,4.602276,4.856917,733.212891,720.322266,746.689453,False,False,False,False,False,,False,False,,False,True,True,True,False,True
220281055.0,8.0,2M00473607+0213443,apogee.apo25m.synspec_fix.120-60.2M00473607+0213443,1636148068921376768,43.66,1.1,5.164,0.088,39.97136761412174,5.231689217454655,-1.3019,0.011600838,0.28851497,0.016515262,3.554533668511419,3.212476167343388,3.8881078008923735,3.3632966713521064,3.336315477479644,3.4038652446023905,0.546802408685302,0.5191764351090654,0.5755482682785712,-779.5473238974416,-863.1725935895834,-691.8814678234168,-51230.99208830269,-52437.46581050344,-49986.1398234881,64.3098492964281,62.17125580831852,66.41574789398595,-87.55003007331706,-96.6095258523878,-77.99484506399448,13.09288610445957,10.18189875703676,16.220180078155305,8.384371,5.814712999999999,11.340798,0.913693,0.825778,1.015148,8.336528999999999,7.992135,8.710817,3158.867188,3058.046875,3265.3515620000003,10.684337,6.900636,16.096477,0.840793,0.725479,0.966843,8.159446,7.171104,8.914783,3136.875,2984.414062,3294.648438,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
211563796.0,5.0,2M08385616+1402110,apogee.apo25m.synspec_fix.K2_C5_212+30_btx.2M08385616+1402110,1636148068921376768,28.32,0.74,3.431,0.076,80.2583337530681,5.369398643172454,-0.25742,0.010650478,0.045561,0.009009979,10.199488495702717,10.125144235086564,10.2745374110124,1.402713269294606,1.3500164374525585,1.4569995314313935,0.1107758119602978,0.1083514856961812,0.1131875810472846,2183.673572001739,2169.648799125729,2197.8148660133897,-30643.69155926635,-30987.557674375785,-30297.13191047342,24.73218393820843,24.476037618119125,24.99083748801769,225.93130916643577,225.538758848308,226.30458319228083,-7.5210183087035265,-8.493868608477348,-6.569195496970621,2.949222,2.210735,4.253533,1.3755879999999998,1.215862,1.514908,12.816734,12.160392,13.323152,2192.65625,2130.585938,2249.375,3.735925,2.931724,4.822088,1.278326,1.182421,1.379655,12.911007,11.715501,13.986315,2200.664062,2108.476562,2284.570312,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
211317608.0,5.0,2M08295243+1012214,apogee.apo25m.synspec_fix.K2_C18_214+26_btx.2M08295243+1012214,1636148068921376768,54.64,1.26,5.98,0.09,,,-0.019349,0.0074082794999999,0.137005,0.0049679237,6.394856328957378,6.367142613540782,6.42108159879005,0.5940685282773873,0.5758036091093313,0.6133918207060277,0.2157499554688692,0.2127335563538827,0.2189495636748257,1433.2202470023717,1427.381293832651,1438.7382874846453,-49334.89150464663,-49421.97310972252,-49250.42577644494,-6.700444510120306,-6.821787143874683,-6.570342775288252,173.8358438059451,173.0429021158918,174.58308624213458,-31.036038728706565,-31.785646146850524,-30.313943649801008,15.750979999999998,13.228991,18.118429000000003,0.902774,0.865041,0.951586,7.530297,7.385363000000001,7.711741,330.859375,325.991211,336.289062,,,,,,,,,,0.0,,,False,False,False,False,False,,False,True,False,,,True,False,False,False
214883984.0,7.0,2M18473250-2525133,apogee.apo25m.synspec_fix.K2_C7_010-10_btx.2M18473250-2525133,1636148068921376768,31.6,0.89,4.178,0.0819999999999999,51.17245896729335,9.856129914558489,0.0051105,0.0125997085,0.038231,0.008619655,4.408919178197763,4.339694651629933,4.481156221334471,0.9833149119984465,0.9694410011085182,0.9970026166129092,0.0533455403872871,0.049337722360401,0.0575376301108702,989.7900912763756,973.238391738818,1006.9727186404424,-66974.65150331306,-67652.37057248109,-66286.01256260161,-24.241353680905387,-25.15030956863613,-23.359906651986464,209.812355766816,209.1586074163889,210.49615016047085,-55.87047739648117,-57.10758575469133,-54.664586688846896,13.192757,9.608815,17.046570000000003,0.915406,0.8611280000000001,0.987611,9.908627,9.658837,10.221181,3422.304688,3356.71875,3497.34375,9.04339,5.257525,14.728791,1.009308,0.891502,1.202525,10.448333,9.933721,10.97419,3606.796875,3482.734375,3719.921875,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
211379264.0,5.0,2M08510103+1118354,apogee.apo25m.synspec_fix.GD1-2.2M08510103+1118354,1636148068921376768,23.82,0.74,3.522,0.068,47.93480504884936,3.903503063867193,-0.22113,0.007730135,0.204855,0.005821034,7.261328075161945,7.254182669590815,7.268638633458712,1.6332612326423264,1.6176097882683365,1.650208206825076,0.2319020857861117,0.2294977584423042,0.2342956045808661,1612.1258076033932,1610.6765716630257,1613.6081347197494,-41726.28505342466,-41785.2624531544,-41662.11301727618,4.242659182129485,3.853970986990922,4.635596004428439,164.38298659006583,163.82036053967545,164.96686877171965,26.087252400857217,25.767062649448143,26.403087297783262,15.9555,12.28474,18.569767,0.86503,0.834684,0.919851,10.998131,10.804798,11.275008,2515.097656,2477.8125,2554.667969,16.330889,13.488003,18.616721,0.854216,0.827559,0.894117,9.795265,9.539405,10.156401,2245.214844,2210.3125,2285.527344,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
248431208.0,14.0,2M10230696+0046452,apogee.apo25m.synspec_fix.244+45_MGA.2M10230696+0046452,1636148068921376768,48.45,1.15,5.447,0.0819999999999999,30.676628981922697,1.6903393856943385,-0.35796,0.01157849,0.115232,0.009510867,7.262741974395135,7.219701865372803,7.303427288744795,1.621150830468587,1.5637455526590858,1.6823483130915708,0.150272375243179,0.1459637627429056,0.1547626749126295,1612.4125291013447,1603.677617064695,1620.6564812751246,-42970.36015607632,-43029.76280254894,-42911.057580277615,-25.923022282904466,-26.13704672377434,-25.709926826757048,188.80042063416013,187.38336364563548,190.12962262574345,-40.71207629973671,-41.996532832337664,-39.475494474884506,12.792334,9.116905,16.976639000000002,0.8943409999999999,0.8271639999999999,0.984225,7.961173,7.715598,8.278067,1550.8984380000002,1507.34375,1602.480469,12.2232,9.662007,14.788716,0.907673,0.858602,0.96795,8.213226,7.912539,8.478306,1615.019531,1580.078125,1649.121094,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
